name_of_faculty,Area of interest
Dr. Madhusudana Rao Nalluri , Heuristics for NP-HARD/ Complete Problems
Dr. Madhusudana Rao Nalluri , Evolutionary Algorithms
Dr. Madhusudana Rao Nalluri , Multi-Objective Optimization
Dr. Priyanka Kumar ,Blockchain in Distributed Computing
Dr. Priyanka Kumar , Machine Learning and Artificial Intelligence in Distributed Computing
Dr. Priyanka Kumar , Game Theory in Distributed Computing
Dr. Priyanka Kumar , Artificial Intelligence and Machine Learning in Supply Chains
Dr. Priyanka Kumar , Predictive Analytics
Dr. Dhanya N. M. ,Computer Design
Dr. Dhanya N. M. , Mobile Cloud Computing
Dr. Dhanya N. M. , Data Analytics
Malathi P. ,Analysis of Algorithms
Malathi P. , Medical Image Processing
Dr. Swapna T. R. ,Machine Learning
Dr. Swapna T. R. , Modeling and Visualization
Dr. Swapna T. R. , Computer Graphics
Dr. Swapna T. R. , Medical Imaging
Dr. Swapna T. R. , Artificial Intelligence
Dr. Swapna T. R. , Data Mining
Dr. Swapna T. R. , Computer Graphic and Big Data Analytics.
Sumesh A. K. ,Embedded System Programming
Sumesh A. K. , IoT System Desin
Sumesh A. K. , IoT Protocols
Sathiya R. R. ,Data Mining
Shanmuga Priya S. ,Programming
Shanmuga Priya S. , Data Structures and Algorithms
Shanmuga Priya S. , Computer Networks
Shanmuga Priya S. , Pattern Recognition
Shanmuga Priya S. , Time Series Analytics
Dr. Venkataraman D. ,Algorithms
Dr. Venkataraman D. , Bioinformatics
Dr. Venkataraman D. , Free & Open Source Softwares
Sikha O. K. ,Image Processing
Sikha O. K. , Big Data Analytics
Sikha O. K. , High Performance Computing
Sujee R. ,Image Processing
Sujee R. , Video Analytics
Vidhya S. ,Social Computing
Vidhya S. , Graphs
Subathra P. ,Data Mining
Subathra P. , Machine Learning
Subathra P. , Big Data Analytics
Suchithra M. ,Image Processing
Dr. Senthilkumar M. ,Mobile IPv4 and Next Generation Internet Protocol Mobility - Mobile IPv6
Dr. Senthilkumar M. , Computer Networks
Dr. Senthilkumar M. , Next Generation Wireless Systems
Dr. Senthilkumar M. , Mobile Computing
Dr. Senthilkumar M. , Cryptography and Information Security
Dr. Thangavelu S. ,Evolutionary Algorithms
Dr. Thangavelu S. , Database Technologies
Dr. C. Selvi ,Data Mining
Dr. C. Selvi , Machine Learning
Dr. C. Selvi , Recommender System
Dr. C. Selvi , Sentiment Analysis
Dr. C. Selvi , Predictive Analytics and Big data Analytics
